,author_id,username,date,likes,retweets,reply count,text
32,42630796,randy_s999,2022-04-21 21:39:24+00:00,0,1,0,If you listen to people the market is ALWAYS going to crash Yes the market will crash at some point but why now interest rates went from to between and The stock market didn t crash until There is SO much cash in this economy a crash now is unlikely
33,300929831,KennyPolcari,2022-04-21 21:38:47+00:00,9,0,1,So of the time the mkt rose During those times had we been stimulating the economy for yrs Were rates at Was inflation rising at the rate it is today Was the supply chain a mess Was oil on its way to Was housing about to crash All legit Q s no
34,760260799956938752,IronyPump,2022-04-21 21:28:00+00:00,1,0,0,About k people work at Disney They would because unemployed because the orlando economy would also crash So no
35,1430722187028217862,JenniferRinal18,2022-04-21 21:10:47+00:00,0,0,0,This President has sent billions to Ukraine Even CNN Politics has recently published an article acknowledging we don t know where the weapons go when we send them He is going to crash our economy Step up or we vote you out and replace you
36,3131564441,csk00000,2022-04-21 21:05:06+00:00,0,0,0,Powell We will crash this economy With no survivors
37,1453667946761441283,Fweedom4lifer,2022-04-21 21:03:27+00:00,1,0,0,The economy is going to crash before that and the next phase will come into effect to become socialist Don t forget the WEF s motto you will own nothing and you will be happy
38,863810910179209217,R_W_Stark,2022-04-21 21:01:04+00:00,0,0,0,I think AirBnBs gotta go now It s literally ruined the housing market and May crash the economy all together
39,1330289569447677952,princeofcalves,2022-04-21 20:55:02+00:00,0,0,0,Crash an economy start a war Profit from said war that we have zero business being in
40,3350093565,sherryj341,2022-04-21 20:54:24+00:00,8,0,2,Spartan Disney is like they re source of income if they move Florida economy will crash
41,363103293,heathdwatts,2022-04-21 20:49:18+00:00,1,0,0,Danger Zone Ben Half of Americans treat billionaires like they are sports teams and cheer for them even when they crash our economy and cause massive unemployment
42,727401449827782656,Adi_Koool,2022-04-21 20:48:28+00:00,1,0,0,The economy runs on debt It s the only way Unless we crash the whole system
43,235211504,AlistairNic,2022-04-21 20:46:21+00:00,0,0,1,Here s my view Political parties are a function of the economy Most of the country lives at least indirectly off the globalist money pit so all main parties are globalist We re soon to have a global financial crash tsunami with gone as reserve currency amp nobody wanting
44,1508259713405923333,UltraLowStatus,2022-04-21 20:45:59+00:00,1,0,0,Sorry The powers that be want to crash the economy They will achieve it They won t allow crypto to be a hiding place The house always win
45,994394080103645184,199NickYT,2022-04-21 20:43:00+00:00,0,0,0,You can t increase taxes on billionaires to a fair level their wealth is all tied up in the stock market and taking any significant amount out would crash the economy
46,1283519935503716352,LeighLiberte,2022-04-21 20:39:16+00:00,1,0,0,nz Its deliberate Ardern amp Robertson are taking their orders from WEF They want to squeeze people out of home ownership etc They want to crash the economy Thats why they collapsed businesses under the guise of covid Its the plan Hold on tight its going to get rockier
47,3227915273,rickyvaldes03,2022-04-21 20:38:43+00:00,0,0,0,The FED has is completed disconnected from REALITY Going up basis points That will CRASH the ECONOMY Inflation needs to be addressed more importantly WAGES need to be addressed
48,125417820,jtourzan,2022-04-21 20:33:59+00:00,2,0,1,Economy going to crash and they are going to print more money to bail it out Position accordingly Japan is skipping the QT part and going straight to fiscal stimulus USA will follow by
49,46154618,klausmeyer_couk,2022-04-21 20:30:28+00:00,0,0,0,It was a great pleasure to travel with a group of to Denmark and Sweden to learn how other societies address grand challenges such as clean energy circular economy and urban transport
50,1365336357565059073,DavidFl15141229,2022-04-21 20:30:00+00:00,0,0,2,If the economy is about to crash why is it that the streets of the UK are full of SUVs even in some of the most deprived areas of our cities
51,1345046781302890499,CollocottConnor,2022-04-21 20:22:42+00:00,1,0,0,dogelover Precisely What economy would remain The knock on effect would crash the entire economic system maybe that is his ultimate goal And then re start a new brand of economy I hope for that rather than civil war and mass culling starvation of humans
52,1325452173191368708,kermitboi627,2022-04-21 20:19:20+00:00,1,0,2,I will crash the economy for an eren jager skin in fortnite
53,1331042647679533056,SamtheNightOwl,2022-04-21 20:10:13+00:00,2,0,0,opppressed the discourse economy would crash if they left the site they make virality possible
54,1904321094,MiltonRepollet,2022-04-21 20:04:35+00:00,1,0,0,Republicans do one thing well crash the state economy This might be a preparation move to them blame the democrats if they win in November for republican economic failures
55,1618637196,jasonhellawell,2022-04-21 20:00:08+00:00,1,0,0,Almost like it was a set up to crash the western economy and depopulate it s population that s accustomed to liberty
